Store,Date,fcst_revenue,WEEk
S0030,10/16/2019,89,42
S0030,10/17/2019,88,42
S0030,10/18/2019,89,42
S0030,10/19/2019,89,42
S0030,10/20/2019,89,43
S0030,10/21/2019,89,43
S0030,10/22/2019,89,43
S0030,10/23/2019,89,43
S0030,10/24/2019,88,43
S0030,10/25/2019,89,43
S0030,10/26/2019,89,43
S0030,10/27/2019,89,44
S0030,10/28/2019,81,44
S0030,10/29/2019,81,44
S0030,10/30/2019,81,44
S0030,10/31/2019,81,44
S0032,10/1/2019,109,40
S0032,10/2/2019,109,40
S0032,10/3/2019,108,40
S0032,10/4/2019,109,40
S0032,10/5/2019,225,40
S0032,10/6/2019,123,41
S0032,10/7/2019,121,41
S0032,10/8/2019,116,41
S0032,10/9/2019,121,41
S0032,10/10/2019,119,41
S0032,10/11/2019,120,41
S0032,10/12/2019,124,41
S0032,10/13/2019,124,42
S0032,10/14/2019,117,42
S0032,10/15/2019,117,42
S0032,10/16/2019,116,42
S0032,10/17/2019,114,42
S0032,10/18/2019,115,42
S0032,10/19/2019,114,42
S0032,10/20/2019,114,43
S0032,10/21/2019,115,43
S0032,10/22/2019,115,43
S0032,10/23/2019,114,43
S0032,10/24/2019,112,43
S0032,10/25/2019,113,43
S0032,10/26/2019,112,43
S0032,10/27/2019,112,44
S0032,10/28/2019,100,44
S0032,10/29/2019,99,44
S0032,10/30/2019,99,44
S0032,10/31/2019,97,44
S0036,10/1/2019,303,40
S0036,10/2/2019,216,40
S0036,10/3/2019,215,40
S0036,10/4/2019,213,40
S0036,10/5/2019,264,40
S0036,10/6/2019,291,41
S0036,10/7/2019,234,41
S0036,10/8/2019,301,41
S0036,10/9/2019,214,41
S0036,10/10/2019,213,41
S0036,10/11/2019,211,41
S0036,10/12/2019,262,41
S0036,10/13/2019,289,42
S0036,10/14/2019,231,42
S0036,10/15/2019,299,42
S0036,10/16/2019,212,42
S0036,10/17/2019,211,42
S0036,10/18/2019,208,42
S0036,10/19/2019,260,42
S0036,10/20/2019,287,43
S0036,10/21/2019,229,43
S0036,10/22/2019,296,43
S0036,10/23/2019,210,43
S0036,10/24/2019,209,43
S0036,10/25/2019,206,43
S0036,10/26/2019,258,43
S0036,10/27/2019,285,44
S0036,10/28/2019,227,44
S0036,10/29/2019,294,44
S0036,10/30/2019,208,44
S0036,10/31/2019,207,44
S0038,10/1/2019,962,40
S0038,10/2/2019,1224,40
S0038,10/3/2019,1141,40
S0038,10/4/2019,1207,40
S0038,10/5/2019,1745,40
S0038,10/6/2019,1646,41
S0038,10/7/2019,1233,41
S0038,10/8/2019,1236,41
S0038,10/9/2019,1213,41
S0038,10/10/2019,1128,41
S0038,10/11/2019,1193,41
S0038,10/12/2019,1698,41
S0038,10/13/2019,1687,42
S0038,10/14/2019,1295,42
S0038,10/15/2019,1285,42
S0038,10/16/2019,1274,42
S0038,10/17/2019,1188,42
S0038,10/18/2019,1252,42
S0038,10/19/2019,1241,42
S0038,10/20/2019,1230,43
S0038,10/21/2019,1220,43
S0038,10/22/2019,1210,43
S0038,10/23/2019,1199,43
S0038,10/24/2019,1113,43
S0038,10/25/2019,1178,43
S0038,10/26/2019,1167,43
S0038,10/27/2019,1157,44
